"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ป.ตรีก่อสร้าง","16","0","0","16","0","16"
"อิเล็กทรอนิกส์","0","0","14","14","0","14"
"ปวส. ช่างยนต์","12","0","0","12","0","12"
"ปวส. การตลาด การขาย","4","4","2","10","0","10"
"ปวส. ช่างเครื่องกล","10","0","0","10","0","10"
"ปวส. ช่างไฟฟ้ากำลัง","10","0","0","10","0","10"
"ช่างก่อสร้าง","9","0","0","9","0","9"
"ปวส. ช่างไฟฟ้า","9","0","0","9","0","9"
"บัญชี","0","4","5","9","0","9"
"ปวช. ช่างยนต์","7","0","1","8","0","8"
"ปวช. ช่างไฟฟ้ากำลัง","7","0","0","7","0","7"
"ปวส. บริหารธุรกิจ การจัดการ","0","6","1","7","0","7"
"สาขาใดก็ได้","0","0","6","6","0","6"
"สาขาที่เกี่ยวข้อง","2","4","0","6","0","6"
"ปวส. ช่างไฟฟ้า (เครื่องกลไฟฟ้า)","4","0","0","4","0","4"
"บัญชี พนิชยการ คอมพิวเตอร์","0","0","4","4","0","4"
"การขาย/การตลาด","0","0","4","4","0","4"
"การบัญชี","0","0","3","3","0","3"
"การตลาด","0","0","3","3","0","3"
"ป.ตรีบัญชี","0","3","0","3","0","3"
"ปวส. การบัญชี","0","3","0","3","0","3"
"ป.ตรีการตลาด","0","0","3","3","0","3"
"ป.ตรีวิทยาศาสตร์-เคมี","0","0","2","2","0","2"
"ปวช. ช่างกลโรงงาน","2","0","0","2","0","2"
"ป.ตรีคอมพิวเตอร์ / เทคโนโลยีสารสนเทศ","0","0","2","2","0","2"
"ป.ตรีวิศวกรรม","1","1","0","2","0","2"
"ปริญญาตรี","0","0","2","2","0","2"
"บริหาร และ อื่นๆ","0","0","2","2","0","2"
"ป.ตรีวิศวกรรมไฟฟ้า","2","0","0","2","0","2"
"ปวส. คอมพิวเตอร์ธุรกิจ","1","1","0","2","0","2"
"ไม่จำกัด","2","0","0","2","0","2"
"ปวช. ขึ้นไป","2","0","0","2","0","2"
"คอมพิวเตอร์","0","2","0","2","0","2"
"ปวช. ช่างซ่อมบำรุง","2","0","0","2","0","2"
"การขาย","0","2","0","2","0","2"
"Computer Science, IT or Software Engineer","0","0","1","1","0","1"
"ปวส.ช่างกลโรงงาน","1","0","0","1","0","1"
"ปวช.คอมพิวเตอร์ธุรกิจ","0","0","1","1","0","1"
"ช่างยนต์","1","0","0","1","0","1"
"วิศวกรรมเครื่องกล","0","0","1","1","0","1"
"วิศวกรรมศาสตร์","0","0","1","1","0","1"
"ปวส. ช่างกลโรงงาน","1","0","0","1","0","1"
"ป.ตรีการตลาดระหว่างประเทศ","0","0","1","1","0","1"
"ทุกสาขา","0","1","0","1","0","1"
"ภาษาญี่ปุ่น หรือเกี่ยวข้อง","0","0","1","1","0","1"
"ป. ตรีประถมศึกษา","0","0","1","1","0","1"
"ปวช. พาณิชยการ การตลาด การขาย","0","1","0","1","0","1"
"ป.ตรีบริหารธุรกิจ / พณิชยศาสตร์ /บัญชี","0","0","1","1","0","1"
"บริหารจัดการ","0","0","1","1","0","1"
"ป.ตรีการออกแบบผลิตภัณฑ์, ศิลปะอุตสาหกรรม","0","1","0","1","0","1"
"ป.ตรีเครื่องกล(วิชาเอกเทคนิคช่างยนต์)","1","0","0","1","0","1"
"ป.ตรีการโรงแรมและการท่องเที่ยว / อุตสาหกรรม / ประกันภัย","0","0","1","1","0","1"
"ทุกสาขาที่เกี่่ยวข้อง","0","1","0","1","0","1"
"สาขาบัญชีการเงิน","0","1","0","1","0","1"
"ป.ตรีคอมพิวเตอร์ธุรกิจ","0","0","1","1","0","1"
"ป.ตรีบริหารธุรกิจ วิชาเอกบริหารธุรกิจ-การตลาด","0","0","1","1","0","1"
"ป.ตรีการตลาดทั่วไป","0","1","0","1","0","1"
"ป.ตรีวิศวกรรมไฟฟ้า / อิเล็กทรอนิกส์ / คอมพิวเตอร์","0","0","1","1","0","1"
"ป.ตรีการจัดการทั่วไป","0","1","0","1","0","1"
"การโรงแรม","0","1","0","1","0","1"
"รวม","106","38","67","211","0","211"
""
