"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ป.ตรีคอมพิวเตอร์ / เทคโนโลยีสารสนเทศ","11","9","167","187","0","187"
"ทุกสาขา","81","28","52","161","0","161"
"ป.ตรีการบัญชี","9","41","62","111","1","112"
"ป.ตรีการตลาด","13","25","57","95","0","95"
"การตลาด","4","10","60","74","0","74"
"สาขาที่เกี่ยวข้อง","5","4","64","72","1","73"
"ป.ตรีวิศวกรรมไฟฟ้า / อิเล็กทรอนิกส์ / คอมพิวเตอร์","26","3","33","62","0","62"
"ป.ตรีวิศวกรรมโยธา","57","2","2","61","0","61"
"ทางวิศวกรรมไฟฟ้ากำลัง","45","15","0","60","0","60"
"วิศวะอุตสาหกรรมการผลิต","1","50","6","57","0","57"
"ป.ตรีการบัญชี, บัญชีการเงิน","4","21","25","50","0","50"
"ป.ตรีวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ","0","0","44","44","0","44"
"Computer Science, IT or Software Engineer","14","13","13","40","0","40"
"ไม่กำหนด","3","0","32","35","0","35"
"ป.ตรีเภสัชศาสตร์","1","3","31","35","0","35"
"ป.ตรีคอมพิวเตอร์","7","5","21","33","0","33"
"ไม่จำกัด","4","3","24","31","0","31"
"โลจิสติกส์","2","0","29","31","0","31"
"ป.ตรีวิศวกรรมเครื่องกล","21","1","7","29","0","29"
"ป.ตรีบริหารธุรกิจ / พณิชยศาสตร์ /บัญชี","3","10","14","27","0","27"
"ป.ตรีวิศวกรรมไฟฟ้า","12","1","14","27","0","27"
"ป.ตรีวิศวกรรมโยธา/ก่อสร้าง","21","2","1","24","0","24"
"ไม่จำกัดสาขา","11","11","1","23","0","23"
"ป.ตรีบริหารธุรกิจ","0","8","14","22","0","22"
"บัญชี","1","11","8","20","0","20"
"เทคโนโลยีสารสนเทศ","0","0","20","20","0","20"
"ป.ตรีก่อสร้าง","18","0","0","18","0","18"
"ป. ตรีการศึกษาปฐมวัย","5","7","6","17","1","18"
"ไม่จำกัดสาขา แต่มีประสบการณ์ในงานงาน","0","0","17","17","0","17"
"ป.ตรีการขาย","4","4","9","17","0","17"
