วิศวกรรมศาสตร์,วิทยาศาสตร์,เกษตร,บริหารธุรกิจ,ช่างอุตสาหกรรม,เกษตร/ประมง,บริหาร/ธุรกิจ
อุตสาหการ,วิทยาศาสตร์ทั่วไป,กีฏวิทยา,การตลาด,ช่างกลโรงงาน,สาขาเกษตร,สาขาการบัญชี
ไฟฟ้า,เคมี,สัตวศาสตร์,เศรษฐศาสตร์-การเงินและการธนาคาร,ช่างเชื่อมโลหะ,สัตวบาล,สาขาการตลาด
อิเล็กทรอนิกส์และโทรคมนาคม,ฟิสิกส์,พืชไร่,การจัดการและการบริหารองค์กร,ช่างไฟฟ้ากำลัง,สาขาประมง,สาขาการจัดการ
เครื่องกล,ชีววิทยา,พืชสวน,การบัญชี,ช่างอิเล็กทรอนิกส์,ช่างกลเกษตร,สาขาเลขานุการ
วิศวะเคมี,เทคโนโลยีทางอาหาร,ประมง,สถิติประยุกต์,ช่างก่อสร้าง,สาขาธุรกิจเกษตร,สาขาคอมพิวเตอร์ธุรกิจ
ปิโตรเคมี,เทคโนโลยีการพิมพ์,วนศาสตร์,คอมพิวเตอร์ธุรกิจ,ช่างเทคนิดสถาปัตยกรรม,แปรรูปผลผลิตเกษตร,สาขาการเงินการธนาคาร
โยธา,เทคโนโลยีชีวภาพ,วนผลิตภัณฑ์,การโรงแรม- การท่องเที่ยว-อุตสาหกรรมบริการ,ช่างเขียนแบบเครื่องกล,สาขาเทคโนโลยีการยาง,สาขาพัฒนาชุมชน-การสหกรณ์
คอมพิวเตอร์,วิทยาศาสตร์ทางทะเล/ประมง,ส่งเสริมการเกษตร,ควบคุมการผลิต,ช่างซ่อมบำรุง,สาขาคหกรรม,พาณิชยการ
สำรวจ,คณิตศาสตร์,ศึกษาศาสตร์เกษตร,พาณิชย์นาวี,ช่างยนต์,สาขาอาหารและโภชนาการ,สาขาอุตสาหกรรมการท่องเที่ยว
โลหะการ,จุลชีววิทยา,ธุรกิจเกษตร,รัฐศาสตร์,เทคนิคอุตสาหกรรม,สาขาเทคโนโลยีการอาหาร,สาขาศิลปศาสตร์
เหมืองแร่และธรณีวิทยา,ชีวเคมี,คหกรรม,บริหารงานบุคคล-ทรัพยากรมนุษย์,ช่างเครื่องมือวัดและควบคุม,อาชีวศึกษาเกษตร-ประมง อื่นๆ,อาชีวศึกษาบริหารธุรกิจ อื่นๆ
สิ่งแวดล้อม,เทคโนโลยีการเกษตร,เกษตรอื่น ๆ,จิตวิทยา,ช่างออกแบบเครื่องประดับ,,
วิศวกรรมเกษตร,เทคโนโลยีการผลิต,,นิติศาสตร์,ช่างคอมพิวเตอร์,,
วิศวกรรมการจัดการ,เทคโนโลยีอุตสาหกรรม,,สังคมวิทยา,ช่างวิทยาศาสตร์ทั่วไป,,
โทรคมนาคม,ชีวอนามัยและความปลอดภัย,,นิเทศศาสตร์,เคมีปฏิบัติ-วิทยาศาสตร์เคมี,,
วิศวกรรมการวัดคุม,วิทยาศาสตร์สิ่งแวดล้อม,,ภาษาศาสตร์,สาขาเครื่องกล,,
วิศวกรรมระบบควบคุม,วิทยาศาสตร์คอมพิวเตอร์,,มนุษยศาสตร์,ช่างโลหะ-เทคนิคโลหะ-โลหะวิทยา,,
วิศวกรรมการผลิต,วิทยาศาสตร์เทคโนโลยีการยาง,,เลขานุการ,ช่างเคหภัณฑ์,,
วิศวกรรมระบบควบคุมและเครื่องวัด,ออกแบบผลิตภัณฑ์,,ศึกษาศาสตร์-ครุศาสตร์,ช่างเจียรไนเพชร,,
วิศวกรรมสิ่งทอ,เภสัชศาสตร์,,อักษรศาสตร์,ช่างต่อเรือ,,
วิศวกรรมเซรามิก,เทคนิคการแพทย์-กายภาพบำบัด,,ศิลปศาสตร์,ช่างเทคนิคการผลิต-เทคโนโลยีการผลิต,,
วิศวกรรมแปรรูปอาหาร,เทคโนโลยีโพลีเมอร์,,อุตสาหกรรมศิลป์,ช่างประกอบ,,
วิศวกรรมความปลอดภัย,เทคโนโลยีไฟฟ้าอุตสาหกรรม,,บริหารธุรกิจอื่น ๆ,ช่างศิลป์-ช่างศิลป์ประยุกต์,,
วิศวกรรมอากาศยาน,เทคโนโลยีวัสดุ,,,ช่างสำรวจ,,
บรรจุภัณฑ์,เทคโนโลยีสารสนเทศ,,,ช่างวิศวกรรมอากาศยาน,,
เทคโนโลยีขนถ่ายวัสดุและออกแบบผลิตภัณฑ์,เพาะเลี้ยง,,,ช่างออกแบบ-ออกแบบผลิตภัณฑ์,,
สถาปัตยกรรมศาสตร์,พยาบาลศาสตร์,,,เทคนิคยานยนต์,,
พลาสติกแม่พิมพ์พลาสติกออกแบบเครื่องพิมพ์พลาสติก,สาธารณสุขศาสตร์,,,ช่างโทรคมนาคม,,
ออกแบบอุตสาหกรรม,สุขศาสตร์อนามัยและสิ่งแวดล้อม,,,ช่างปิโตรเคมี,,
วิศวกรรมแหล่งน้ำและชลประทาน,วิทยาศาสตร์สาขาอื่น ๆ,,,ฝ่ายควบคุมคุณภาพ,,
ภูมิสถาปัตยกรรม,,,,ฝ่ายควบคุมวัตถุดิบ,,
อื่น ๆ,,,,พลาสติก-ช่างฉีดพลาสติก,,
,,,,พิมพ์สกรีน,,
,,,,แม่พิมพ์พลาสติก-แม่พิมพ์,,
,,,,เขียนแบบเทคนิค,,
,,,,เทคโนโลยีโทรคมนาคมและการสื่อสาร,,
,,,,ช่างเทคนิคอื่น ๆ,,
