key,value
ISO3,THA
HDR Country Name,Thailand
Human Development Groups,Very High
UNDP Developeing Regions,EAP
HDI Rank (2021),66
Human Development Index (value) (1990),.576
Human Development Index (value) (1991),.585
Human Development Index (value) (1992),.595
Human Development Index (value) (1993),.604
Human Development Index (value) (1994),.613
Human Development Index (value) (1995),.619
Human Development Index (value) (1996),.628
Human Development Index (value) (1997),.635
Human Development Index (value) (1998),.64
Human Development Index (value) (1999),.646
Human Development Index (value) (2000),.653
Human Development Index (value) (2001),.664
Human Development Index (value) (2002),.676
Human Development Index (value) (2003),.6870000000000001
Human Development Index (value) (2004),.697
Human Development Index (value) (2005),.706
Human Development Index (value) (2006),.712
Human Development Index (value) (2007),.724
Human Development Index (value) (2008),.727
Human Development Index (value) (2009),.73
Human Development Index (value) (2010),.737
Human Development Index (value) (2011),.743
Human Development Index (value) (2012),.746
Human Development Index (value) (2013),.747
Human Development Index (value) (2014),.778
Human Development Index (value) (2015),.781
Human Development Index (value) (2016),.785
Human Development Index (value) (2017),.79
Human Development Index (value) (2018),.795
Human Development Index (value) (2019),.804
Human Development Index (value) (2020),.802
Human Development Index (value) (2021),.8
Life Expectancy at Birth (years) (1990),70.4449
Life Expectancy at Birth (years) (1991),70.71680000000001
Life Expectancy at Birth (years) (1992),70.8853
Life Expectancy at Birth (years) (1993),71.06780000000001
Life Expectancy at Birth (years) (1994),71.2265
Life Expectancy at Birth (years) (1995),70.94750000000001
Life Expectancy at Birth (years) (1996),71.6525
Life Expectancy at Birth (years) (1997),72.5005
Life Expectancy at Birth (years) (1998),72.8623
Life Expectancy at Birth (years) (1999),72.5419
Life Expectancy at Birth (years) (2000),72.3156
Life Expectancy at Birth (years) (2001),72.6127
Life Expectancy at Birth (years) (2002),72.92959999999999
Life Expectancy at Birth (years) (2003),73.1546
Life Expectancy at Birth (years) (2004),73.0797
Life Expectancy at Birth (years) (2005),73.8202
Life Expectancy at Birth (years) (2006),74.93810000000001
Life Expectancy at Birth (years) (2007),75.1872
Life Expectancy at Birth (years) (2008),75.49160000000001
Life Expectancy at Birth (years) (2009),75.8416
Life Expectancy at Birth (years) (2010),76.1313
Life Expectancy at Birth (years) (2011),76.4212
Life Expectancy at Birth (years) (2012),76.77209999999999
Life Expectancy at Birth (years) (2013),77.0827
Life Expectancy at Birth (years) (2014),77.4153
Life Expectancy at Birth (years) (2015),77.7166
Life Expectancy at Birth (years) (2016),78.0489
Life Expectancy at Birth (years) (2017),78.3939
Life Expectancy at Birth (years) (2018),78.6622
Life Expectancy at Birth (years) (2019),78.9751
Life Expectancy at Birth (years) (2020),79.2739
Life Expectancy at Birth (years) (2021),78.7154
Expected Years of Schooling (years) (1990),8.434339523
Expected Years of Schooling (years) (1991),8.6890529
Expected Years of Schooling (years) (1992),8.943766276
Expected Years of Schooling (years) (1993),9.198479652
Expected Years of Schooling (years) (1994),9.39669466
Expected Years of Schooling (years) (1995),9.594909668
Expected Years of Schooling (years) (1996),9.777119637
Expected Years of Schooling (years) (1997),10.12629986
Expected Years of Schooling (years) (1998),10.61707973
Expected Years of Schooling (years) (1999),10.92442989
Expected Years of Schooling (years) (2000),11.23178005
Expected Years of Schooling (years) (2001),11.53913021
Expected Years of Schooling (years) (2002),11.79646969
Expected Years of Schooling (years) (2003),12.0318799
Expected Years of Schooling (years) (2004),12.26729012
Expected Years of Schooling (years) (2005),12.71640015
Expected Years of Schooling (years) (2006),12.79994011
Expected Years of Schooling (years) (2007),13.28761005
Expected Years of Schooling (years) (2008),13.23031044
Expected Years of Schooling (years) (2009),13.28015995
Expected Years of Schooling (years) (2010),13.27869987
Expected Years of Schooling (years) (2011),13.51762009
Expected Years of Schooling (years) (2012),13.30148983
Expected Years of Schooling (years) (2013),13.16110992
Expected Years of Schooling (years) (2014),15.71035004
Expected Years of Schooling (years) (2015),15.56759501
Expected Years of Schooling (years) (2016),15.42483997
Expected Years of Schooling (years) (2017),15.57729969
Expected Years of Schooling (years) (2018),15.72975941
Expected Years of Schooling (years) (2019),15.88221913
Expected Years of Schooling (years) (2020),15.88221913
Expected Years of Schooling (years) (2021),15.88221913
Mean Years of Schooling (years) (1990),4.507717011
Mean Years of Schooling (years) (1991),4.625411972
Mean Years of Schooling (years) (1992),4.743106933
Mean Years of Schooling (years) (1993),4.860801894
Mean Years of Schooling (years) (1994),4.978496855
Mean Years of Schooling (years) (1995),5.096191816
Mean Years of Schooling (years) (1996),5.209178979
Mean Years of Schooling (years) (1997),5.322166142
Mean Years of Schooling (years) (1998),5.435153304
Mean Years of Schooling (years) (1999),5.548140467
Mean Years of Schooling (years) (2000),5.66112763
Mean Years of Schooling (years) (2001),6.044813203
Mean Years of Schooling (years) (2002),6.428498776
Mean Years of Schooling (years) (2003),6.812184349
Mean Years of Schooling (years) (2004),7.195869923
Mean Years of Schooling (years) (2005),7.08158493
Mean Years of Schooling (years) (2006),6.967299938
Mean Years of Schooling (years) (2007),7.12835741
Mean Years of Schooling (years) (2008),7.289414883
Mean Years of Schooling (years) (2009),7.450472355
Mean Years of Schooling (years) (2010),7.611529827
Mean Years of Schooling (years) (2011),7.710706552
Mean Years of Schooling (years) (2012),7.809883277
Mean Years of Schooling (years) (2013),7.909060001
Mean Years of Schooling (years) (2014),8.044580141999999
Mean Years of Schooling (years) (2015),8.180100282
Mean Years of Schooling (years) (2016),8.315620422
Mean Years of Schooling (years) (2017),8.343885422
Mean Years of Schooling (years) (2018),8.372150421000001
Mean Years of Schooling (years) (2019),8.697119712999999
Mean Years of Schooling (years) (2020),8.697119712999999
Mean Years of Schooling (years) (2021),8.697119712999999
Gross National Income Per Capita (2017 PPP$) (1990),6907.889992
Gross National Income Per Capita (2017 PPP$) (1991),7394.923747
Gross National Income Per Capita (2017 PPP$) (1992),7971.357491
Gross National Income Per Capita (2017 PPP$) (1993),8598.577147
Gross National Income Per Capita (2017 PPP$) (1994),9191.86102
Gross National Income Per Capita (2017 PPP$) (1995),9824.277760999999
Gross National Income Per Capita (2017 PPP$) (1996),10203.84775
Gross National Income Per Capita (2017 PPP$) (1997),9759.635624
Gross National Income Per Capita (2017 PPP$) (1998),8823.728698999999
Gross National Income Per Capita (2017 PPP$) (1999),9198.867322
Gross National Income Per Capita (2017 PPP$) (2000),9616.209306000001
Gross National Income Per Capita (2017 PPP$) (2001),9772.652724
Gross National Income Per Capita (2017 PPP$) (2002),10211.68508
Gross National Income Per Capita (2017 PPP$) (2003),10799.9246
Gross National Income Per Capita (2017 PPP$) (2004),11369.88638
Gross National Income Per Capita (2017 PPP$) (2005),11752.65579
Gross National Income Per Capita (2017 PPP$) (2006),12360.60169
Gross National Income Per Capita (2017 PPP$) (2007),13001.9766
Gross National Income Per Capita (2017 PPP$) (2008),13123.79994
Gross National Income Per Capita (2017 PPP$) (2009),12986.90502
Gross National Income Per Capita (2017 PPP$) (2010),13795.84373
Gross National Income Per Capita (2017 PPP$) (2011),14101.94778
Gross National Income Per Capita (2017 PPP$) (2012),14717.81103
Gross National Income Per Capita (2017 PPP$) (2013),14759.55225
Gross National Income Per Capita (2017 PPP$) (2014),15038.44001
Gross National Income Per Capita (2017 PPP$) (2015),15445.28656
Gross National Income Per Capita (2017 PPP$) (2016),15993.77762
Gross National Income Per Capita (2017 PPP$) (2017),16642.45037
Gross National Income Per Capita (2017 PPP$) (2018),17218.95408
Gross National Income Per Capita (2017 PPP$) (2019),17773.65504
Gross National Income Per Capita (2017 PPP$) (2020),16803.76572
Gross National Income Per Capita (2017 PPP$) (2021),17030.15352
GDI Group (2021),1
Gender Development Index (value) (1990),.948
Gender Development Index (value) (1991),.951
Gender Development Index (value) (1992),.956
Gender Development Index (value) (1993),.96
