"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ป.ตรีคอมพิวเตอร์ / เทคโนโลยีสารสนเทศ","9","9","145","163","0","163"
"ทุกสาขา","32","32","51","115","0","115"
"ป.ตรีการตลาด","5","23","46","74","0","74"
"บัญชี","9","48","16","73","0","73"
"ไม่จำกัด","11","15","44","70","0","70"
"ปวช. ช่างยนต์","56","0","7","61","2","63"
"ป.ตรีการบัญชี","5","15","34","53","1","54"
"ป.ตรีวิศวกรรมโยธา","48","2","2","52","0","52"
"วิศวะอุตสาหกรรมการผลิต","1","50","1","52","0","52"
"ช่างเชื่อม","44","0","0","43","1","44"
"ปวส. ช่างไฟฟ้ากำลัง","43","0","1","44","0","44"
"การตลาด","2","13","27","42","0","42"
"อิเล็กทรอนิกส์/ไฟฟ้า/คอมพิวเตอร์","36","0","1","37","0","37"
"ปวส. การตลาด การขาย","11","10","16","37","0","37"
"Computer Science, IT or Software Engineer","13","13","10","36","0","36"
"ปวส. การบัญชี","0","25","11","36","0","36"
"ป.ตรีการบัญชี, บัญชีการเงิน","3","13","19","35","0","35"
"ปวส. ช่างกลโรงงาน","33","0","0","33","0","33"
"ช่างไฟฟ้า","31","2","0","31","2","33"
"ปวส. ช่างยนต์","29","3","0","32","0","32"
"ปวช. พาณิชยการ การตลาด การขาย","10","9","13","32","0","32"
"ไม่จำกัดสาขา แต่มีประสบการณ์ในงานงาน","10","3","18","31","0","31"
"ปวช. ช่างกลโรงงาน","24","0","5","29","0","29"
"ไฟฟ้า","26","0","2","28","0","28"
"ปวส. ช่างไฟฟ้า","28","0","0","28","0","28"
"สาขาที่เกี่ยวข้อง","7","2","18","27","0","27"
"ช่างยนต์","26","0","0","26","0","26"
"ทั่วไป","7","4","14","25","0","25"
"ไม่กำหนด","1","0","23","24","0","24"
"ไม่จำกัดสาขา","11","11","1","23","0","23"
"ไฟฟ้ากำลัง","20","0","2","22","0","22"
"วุฒิช่างหรือที่เกี่ยวข้อง","22","0","0","22","0","22"
"ช่างทั่วไป","21","0","0","21","0","21"
"ปวส. การจัดการทั่วไป","11","10","0","21","0","21"
"อิเล็กทรอนิกส์","2","10","8","20","0","20"
"เทคโนโลยีสารสนเทศ","0","0","20","20","0","20"
"ปวช. ช่างก่อสร้าง","16","1","2","19","0","19"
"ปวช. ไฟฟ้า","19","0","0","19","0","19"
"ช่างกล","16","0","2","17","1","18"
"ป.ตรีวิศวกรรมไฟฟ้า / อิเล็กทรอนิกส์ / คอมพิวเตอร์","17","0","1","18","0","18"
"ปวส. ช่างไฟฟ้า (เครื่องกลไฟฟ้า)","17","0","0","17","0","17"
"ช่าง","17","0","0","17","0","17"
"ปวช. เครื่องกล","16","0","1","17","0","17"
"ปวส. ช่างเทคนิคคอมพิวเตอร์","7","1","8","16","0","16"
"ป.ตรีเภสัชศาสตร์","0","1","15","16","0","16"
"ปวช. ช่างกลโลหะ ช่างเชื่อมและโลหะแผ่น","15","0","1","15","1","16"
"สาขาคอมพิวเตอร์, วิทยาการคอมพิวเตอร์, วิศวกรรมคอมพิวเตอร์ หรือ สาขาอื่นที่เกี่ยวข้อง","10","5","1","16","0","16"
"การตลาด การขาย","0","1","15","16","0","16"
"ป. ตรีการศึกษาปฐมวัย","5","6","5","15","1","16"
"ปวส.","11","2","2","15","0","15"
"การบัญชี","2","8","5","15","0","15"
"ป.ตรีวิศวกรรมเครื่องกล","13","1","1","15","0","15"
"ปวส. ช่างเทคนิคอุตสาหกรรม","12","2","1","15","0","15"
"วิศวกรรม / ช่างไฟฟ้า / งานระบบอาคาร","12","0","3","15","0","15"
"การช่าง","15","0","0","15","0","15"
"ช่างเทคนิค","13","2","0","15","0","15"
"ป.ตรีกายภาพบำบัด","0","1","12","13","0","13"
"ที่เกี่ยวข้อง","9","4","0","13","0","13"
"ป.ตรีการพัฒนาทรัพยากรมนุษย์","5","5","2","12","0","12"
"ปวช. ช่างไฟฟ้ากำลัง","9","0","3","12","0","12"
"ป.ตรีบริหารธุรกิจ / พณิชยศาสตร์ /บัญชี","2","4","6","12","0","12"
"ป. ตรีการศึกษา (EDUCATION)","5","2","5","12","0","12"
"การขายการตลาด","0","1","11","12","0","12"
"บัญชี พนิชยการ คอมพิวเตอร์","2","3","6","11","0","11"
"ป.ตรีวิศวกรรม","1","0","10","11","0","11"
"ปวส. ช่างเทคนิคอุตสาหกรรมเปโตรเคมี","11","0","0","11","0","11"
"ป.ตรีวิศวกรรมก่อสร้าง","3","0","8","11","0","11"
"ปวส.ช่างยนต์","10","0","0","10","0","10"
"ป.ตรีคอมพิวเตอร์ / เทคโนโลยีสารสนเทศ","0","0","10","10","0","10"
"ป.ตรีการขาย","3","1","6","10","0","10"
"ปวส. ช่างก่อสร้าง","7","0","3","10","0","10"
"Computer Science, Computer Engineering,Management Information System, Engeneering,Finance, Laws, Business Administration, Materials Science","0","0","10","10","0","10"
"ป.ตรีวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ","0","0","10","10","0","10"
"ป.ตรีวิทยาศาสตร์-เกษตร","0","0","10","10","0","10"
"ป.ตรีบริหารธุรกิจ","1","5","3","9","0","9"
"ป.ตรีวิทยาศาสตร์","0","0","9","9","0","9"
"ปวช. ช่างอิเลกทรอนิกส์","8","0","1","9","0","9"
"โลจิสติกส์","3","0","6","9","0","9"
"การบัญชี/การตลาด","0","2","7","9","0","9"
"การขายและการตลาด","4","4","0","8","0","8"
"ป.ตรีสถาปัตยกรรมศาสตร์","0","0","8","8","0","8"
