"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ทุกสาขา","67","15","41","123","0","123"
"การตลาด","25","28","68","121","0","121"
"ทางวิศวกรรมไฟฟ้ากำลัง","45","15","0","60","0","60"
"ช่างยนต์","57","1","1","59","0","59"
"บัญชี","1","30","24","55","0","55"
"ป.ตรีการบัญชี","4","25","26","55","0","55"
"สาขาที่เกี่ยวข้อง","1","3","49","52","1","53"
"ช่างเชื่อม","53","0","0","52","1","53"
"ปวช. ช่างกลโรงงาน","49","0","0","49","0","49"
"ปวส. การตลาด การขาย","10","20","18","48","0","48"
"ปวส. การบัญชี","7","27","13","47","0","47"
"ไม่จำกัด","31","5","6","42","0","42"
"ปวช. ช่างยนต์","40","0","0","40","0","40"
"ปวช. ช่างกลโลหะ ช่างเชื่อมและโลหะแผ่น","37","0","2","39","0","39"
"ปวส. ช่างไฟฟ้ากำลัง","39","0","0","39","0","39"
"ป.ตรีวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ","0","0","34","34","0","34"
"ป.ตรีวิศวกรรมไฟฟ้า / อิเล็กทรอนิกส์ / คอมพิวเตอร์","3","0","31","34","0","34"
"ปวช. ช่างเทคนิคอุตสาหกรรม","32","0","0","32","0","32"
"ปวส. ช่างยนต์","28","1","0","29","0","29"
"ปวส. ช่างกลโรงงาน, ช่างเทคนิคอุตสาหกรรม","27","0","0","27","0","27"
"วิศวกรรม / ช่างไฟฟ้า / งานระบบอาคาร","23","0","4","27","0","27"
"ป.ตรีคอมพิวเตอร์","3","4","19","26","0","26"
"โลจิสติกส์","2","0","23","25","0","25"
"ช่างไฟฟ้า","24","0","1","25","0","25"
"ปวส. ช่างไฟฟ้า","23","0","0","23","0","23"
"การบัญชี","1","11","10","22","0","22"
"ปวช. ช่างไฟฟ้ากำลัง","21","0","0","21","0","21"
"ป.ตรีคอมพิวเตอร์ / เทคโนโลยีสารสนเทศ","2","0","19","21","0","21"
"ปวส. คอมพิวเตอร์ธุรกิจ","2","17","2","21","0","21"
"ปวส. ช่างเทคนิคอุตสาหกรรม","17","1","2","20","0","20"
"ป.ตรีวิศวกรรมโยธา/ก่อสร้าง","17","1","0","18","0","18"
"ปวส. ช่างก่อสร้าง","13","0","3","16","0","16"
"ป.ตรีเภสัชศาสตร์","1","2","12","15","0","15"
"ช่าง","15","0","0","15","0","15"
"ปวช. ช่างก่อสร้าง","15","0","0","15","0","15"
"ป.ตรีการตลาด","5","2","7","14","0","14"
